id,class
882,4
883,4
884,3
885,3
886,4
887,1
888,3
889,0
890,2
891,3
892,0
893,2
894,4
895,2
896,2
897,1
898,1
899,2
900,2
901,0
902,1
903,0
904,5
905,4
906,1
907,3
908,3
909,1
910,2
911,3
912,3
913,2
914,5
915,3
916,5
917,3
918,1
919,2
920,1
921,3
922,4
923,2
924,0
925,4
926,1
927,4
928,3
929,3
930,1
931,2
932,1
933,0
934,3
935,3
936,2
937,1
938,0
939,5
940,3
941,0
942,3
943,2
944,0
945,1
946,2
947,3
948,1
949,3
950,3
951,4
952,0
953,1
954,4
955,3
956,2
957,4
958,1
959,2
960,3
961,2
962,4
963,0
964,0
965,4
966,1
967,2
968,3
969,4
970,5
971,1
972,1
973,5
974,1
975,1
976,2
977,3
978,0
979,1
980,3
981,1
982,4
983,1
984,0
985,3
986,3
987,2
988,1
989,5
990,4
991,3
992,2
993,0
994,4
995,0
996,3
997,3
998,2
999,4
1000,1
1001,3
1002,1
1003,1
1004,1
1005,4
1006,3
1007,2
1008,4
1009,1
1010,4
1011,2
1012,4
1013,1
1014,3
1015,3
1016,3
1017,3
1018,1
1019,1
1020,0
1021,3
1022,4
1023,0
1024,0
1025,1
1026,4
1027,5
1028,1
1029,5
1030,3
1031,2
1032,0
1033,5
1034,1
1035,1
1036,2
1037,4
1038,4
1039,2
1040,1
1041,3
1042,2
1043,2
1044,0
1045,1
1046,0
1047,1
1048,4
1049,2
1050,0
1051,3
1052,0
1053,1
1054,1
1055,1
1056,4
1057,0
1058,3
1059,4
1060,4
1061,0
1062,0
1063,1
1064,3
1065,3
1066,1
1067,2
1068,0
1069,0
1070,0
1071,1
1072,2
1073,1
1074,0
1075,3
1076,1
1077,3
1078,4
1079,0
1080,2
1081,5
1082,1
1083,2
1084,4
1085,4
1086,1
1087,1
1088,1
1089,0
1090,0
1091,3
1092,4
1093,0
1094,0
1095,0
1096,1
1097,2
1098,4
1099,1
1100,3
1101,3
1102,1
1103,1
1104,3
1105,4
1106,5
1107,0
1108,2
1109,0
1110,5
1111,3
1112,1
1113,4
1114,1
1115,0
1116,2
1117,1
1118,0
1119,3
1120,2
1121,0
1122,4
1123,3
1124,1
1125,0
1126,4
1127,0
1128,2
1129,3
1130,0
1131,3
1132,0
1133,4
1134,0
1135,0
1136,0
1137,2
1138,2
1139,0
1140,4
1141,1
1142,3
1143,0
1144,4
1145,3
1146,0
1147,3
1148,0
1149,1
1150,4
1151,1
1152,4
1153,3
1154,0
1155,3
1156,3
1157,3
1158,3
1159,5
1160,4
1161,0
1162,1
1163,1
1164,4
1165,4
1166,1
1167,2
1168,0
1169,1
1170,3
1171,4
1172,4
1173,0
1174,1
1175,0
1176,2
1177,1
1178,4
1179,3
1180,4
1181,4
1182,4
1183,2
1184,1
1185,0
1186,4
1187,2
1188,1
1189,3
1190,0
1191,3
1192,3
1193,0
1194,0
1195,1
1196,4
1197,4
1198,3
1199,0
1200,1
1201,4
1202,1
1203,3
1204,0
1205,3
1206,2
1207,0
1208,3
1209,2
1210,1
1211,1
1212,4
1213,0
1214,2
1215,1
1216,1
1217,2
1218,2
1219,0
1220,3
1221,1
1222,0
1223,3
1224,4
1225,0
1226,3
1227,2
1228,4
1229,1
1230,2
1231,0
1232,1
1233,4
1234,0
1235,1
1236,4
1237,3
1238,0
1239,2
1240,4
1241,1
1242,1
1243,3
1244,1
1245,0
1246,4
1247,0
1248,2
1249,0
1250,2
1251,1
1252,2
1253,0
1254,1
1255,4
1256,3
1257,1
1258,1
1259,3
1260,1
1261,2
1262,3
1263,2
1264,0
1265,0
1266,1
1267,0
1268,1
1269,3
1270,5
1271,3
1272,1
1273,3
1274,3
1275,3
1276,2
1277,4
1278,1
1279,5
1280,0
1281,1
1282,3
1283,4
1284,4
1285,5
1286,0
1287,1
1288,4
1289,0
1290,0
1291,1
1292,1
1293,1
1294,3
1295,5
1296,0
1297,1
1298,1
1299,3
1300,4
1301,4
1302,2
1303,1
1304,1
1305,5
1306,4
1307,0
1308,0
1309,4
1310,1
1311,1
1312,2
1313,4
1314,3
1315,4
1316,2
1317,1
1318,1
1319,2
1320,4
1321,3
1322,0
1323,0
1324,3
1325,1
1326,1
1327,2
1328,0
1329,0
1330,3
1331,3
1332,3
1333,1
1334,1
1335,5
1336,3
1337,0
1338,4
1339,2
1340,4
1341,4
1342,1
1343,5
1344,3
1345,3
1346,3
1347,3
1348,2
1349,5
1350,4
1351,1
1352,3
1353,4
1354,3
1355,1
1356,0
1357,2
1358,3
1359,2
1360,2
1361,5
1362,1
1363,0
1364,2
1365,3
1366,0
1367,2
1368,4
1369,1
1370,3
1371,2
1372,2
1373,5
1374,0
1375,2
1376,1
1377,1
1378,2
1379,4
1380,4
1381,1
1382,1
1383,1
1384,1
1385,0
1386,0
1387,1
1388,1
1389,4
1390,4
1391,0
1392,5
1393,4
1394,4
1395,0
1396,4
1397,2
1398,1
1399,1
1400,1
1401,5
1402,0
1403,4
1404,3
1405,1
1406,0
1407,0
1408,0
1409,4
1410,3
1411,1
1412,3
1413,0
1414,1
1415,2
1416,4
1417,2
1418,1
1419,3
1420,5
1421,1
1422,4
1423,1
1424,3
1425,0
1426,2
1427,2
1428,2
1429,1
1430,3
1431,4
1432,0
1433,1
1434,1
1435,0
1436,1
1437,1
1438,0
1439,2
1440,3
1441,0
1442,3
1443,0
1444,0
1445,0
1446,0
1447,0
1448,4
1449,0
1450,3
1451,4
1452,0
1453,2
1454,3
1455,2
1456,3
1457,3
1458,4
1459,1
1460,1
1461,4
1462,4
1463,4
1464,1
1465,2
1466,0
1467,2
1468,2
1469,1
1470,1
1471,0
1472,0
1473,4
1474,3
1475,5
1476,2
1477,1
1478,1
1479,4
1480,1
1481,2
1482,3
1483,2
1484,1
1485,5
1486,2
1487,0
1488,1
1489,1
1490,2
1491,3
1492,4
1493,1
1494,2
1495,2
1496,1
1497,2
1498,5
1499,1
1500,4
1501,4
1502,4
1503,0
1504,5
1505,1
1506,0
1507,0
1508,2
1509,5
1510,4
1511,2
1512,4
1513,1
1514,4
1515,0
1516,1
1517,0
1518,1
1519,4
1520,5
1521,0
1522,0
1523,1
1524,0
1525,0
1526,3
1527,2
1528,4
1529,0
1530,3
1531,4
1532,2
1533,3
1534,3
1535,4
1536,3
1537,2
1538,4
1539,3
1540,4
1541,4
1542,1
1543,4
1544,1
1545,1
1546,1
1547,3
1548,2
1549,2
1550,4
1551,2
1552,4
1553,3
1554,3
1555,3
1556,2
1557,2
1558,1
1559,3
1560,0
1561,4
1562,1
1563,0
1564,0
1565,5
1566,5
1567,4
1568,4
1569,3
1570,4
1571,3
1572,1
1573,2
1574,0
1575,0
1576,2
1577,4
1578,1
1579,2
1580,4
1581,1
1582,2
1583,3
1584,1
1585,0
1586,0
1587,1
1588,1
1589,0
1590,0
1591,2
1592,1
1593,3
1594,4
1595,0
1596,5
1597,3
1598,0
1599,1
1600,1
1601,0
1602,1
1603,2
1604,0
1605,2
1606,4
1607,0
1608,1
1609,2
1610,1
1611,2
1612,1
1613,1
1614,3
1615,4
1616,0
1617,1
1618,2
1619,4
1620,1
1621,1
1622,0
1623,2
1624,1
1625,2
1626,4
1627,1
1628,0
1629,4
1630,3
1631,2
1632,0
1633,3
1634,0
1635,4
1636,0
1637,1
1638,0
1639,4
1640,0
1641,5
1642,3
1643,5
1644,0
1645,1
1646,1
1647,0
1648,1
1649,0
1650,1
1651,4
1652,0
1653,2
1654,1
1655,4
1656,1
1657,0
1658,0
1659,1
1660,4
1661,0
1662,0
1663,3
1664,3
1665,3
1666,2
1667,0
1668,2
1669,1
1670,2
1671,4
1672,1
1673,4
1674,4
1675,2
1676,5
1677,0
1678,4
1679,0
1680,2
1681,0
1682,1
1683,1
1684,1
1685,4
1686,3
1687,0
1688,0
1689,3
1690,4
1691,2
1692,4
1693,5
1694,2
1695,2
1696,3
1697,1
1698,4
1699,2
1700,1
1701,5
1702,4
1703,2
1704,2
1705,0
1706,1
1707,2
1708,3
1709,4
1710,1
1711,1
1712,1
1713,1
1714,3
1715,2
1716,5
1717,1
1718,2
1719,1
1720,3
1721,3
1722,3
1723,2
1724,0
1725,2
1726,1
1727,2
1728,2
1729,2
1730,0
1731,4
1732,3
1733,0
1734,4
1735,2
1736,0
1737,3
1738,3
1739,3
1740,3
1741,5
1742,0
1743,4
1744,0
1745,1
1746,1
1747,1
1748,2
1749,4
1750,0
1751,4
1752,0
1753,1
1754,0
1755,2
1756,3
1757,2
1758,3
1759,2
1760,0
1761,1
1762,2
1763,0
1764,0
1765,0
1766,3
1767,5
1768,1
1769,3
1770,4
